portfolio_name,cagr,mdd,sharpe,calmar,sortino,annual_volatility,win_rate
aggressive,0.5095875419593752,-0.2237335254117373,2.1974378972873763,2.277653923441201,2.7907035346037556,0.19633336119179862,0.607487922705314
base,0.6923979119449344,-0.11547828588091813,2.4675194255355395,5.99591435448686,3.187708558596154,0.223565600073655,0.571753986332574
conservative,0.1101829586548353,-0.02805417587823833,2.805049574491335,3.927506519280946,3.119737145095177,0.037521121738201935,0.6378132118451025
인공지능 추가,0.5781291258787773,-0.11906569804109401,2.381211043353876,4.855547276758444,2.8708238645451862,0.2001685094980597,0.6209150326797386
초기 포트폴리오 최최최종,0.49186008973453554,-0.11345068118047164,2.2016899150543052,4.33545294410449,2.641621874536964,0.1900273341607991,0.6100217864923747
20260602_19_42,0.6065128211286357,-0.1265535952116542,2.359580303561939,4.792537265450855,2.8243468811037067,0.21047313179854396,0.6143790849673203
6월 2일 수정 포트폴리오,0.5977170834708014,-0.12985279582340337,2.3247592384238107,4.603035919871006,2.7765106675797786,0.21133844699353355,0.6100217864923747
"6월 2일, 장 마감 최종",0.5972904205579874,-0.12619054963335574,2.334315904578236,4.7332420874099,2.791632502490298,0.2102626785345425,0.6122004357298475
6월 2일 수정 채권 포함 95%,0.5052491144337621,-0.1114943092936942,2.341540302815031,4.531613475472129,2.779229278958792,0.18184054542640085,0.6230936819172114
KOSPI,0.18493824107599321,-0.41270399859235474,0.9596640207300421,0.44811351890647555,1.2319772812028622,0.19715546154751182,0.5452480121166224
KOSPI(70%),0.18493824107599321,-0.41270399859235474,0.9596640207300419,0.44811351890647555,1.2319772812028624,0.19715546154751173,0.5452480121166224
S&P500,0.21310705899971483,-0.19155255739025367,1.3144870616052902,1.112525261490233,1.7676572023977004,0.1563031954338119,0.5528196981731534
S&P500(70%),0.21310705899971483,-0.19155255739025379,1.3144870616052917,1.1125252614902323,1.7676572023977033,0.15630319543381196,0.5528196981731534
