code,name,quantity,avg_price,cost_basis,price_date,current_price,market_value,unrealized_pnl,unrealized_return,current_weight,risk_type,asset_class
091160,KODEX 반도체,1533.0,130460.0,199995180.0,2026-05-22,155500.0,238381500.0,38386320.0,0.19193622566303847,0.23064444892868563,위험,국내주식_섹터
360750,TIGER 미국S&P500,7593.0,26340.0,199999620.0,2026-05-22,28100.0,213363300.0,13363680.0,0.06681852695520121,0.2064382544371347,위험,해외주식_지수
488770,KODEX 머니마켓액티브,1918.0,104260.0,199970680.0,2026-05-22,104430.0,200296740.0,326060.0,0.0016305390370228276,0.1937957904431016,안전,금리연계형/초단기채권
411060,ACE KRX금현물,4957.0,30255.0,149974035.0,2026-05-22,30325.0,150321025.0,346990.0,0.0023136671624524874,0.14544211683171795,위험,FX 및 원자재
449450,PLUS K방산,1839.0,81560.0,149988840.0,2026-05-22,71985.0,132380415.0,-17608425.0,-0.11739823442864149,0.1280837978896253,위험,국내주식_섹터
273130,KODEX 종합채권(AA-이상)액티브,892.0,112105.0,99997660.0,2026-05-22,110765.0,98802380.0,-1195280.0,-0.011953079702065028,0.09559559146973481,안전,국내채권_회사채
