year,month,monthly_return
2021,12,0.01359685854531012
2022,1,-0.05271254482995735
2022,2,-0.00043680342062013544
2022,3,0.025893835287381428
2022,4,-0.023329521008556453
2022,5,-0.02113321557986192
2022,6,-0.046558633756041856
2022,7,0.05081363695296304
2022,8,-0.013232726699507258
2022,9,-0.03836712671477449
2022,10,0.029968964919012686
2022,11,0.005430602535532181
2022,12,-0.045798978366473064
2023,1,0.042567964496278865
2023,2,0.010716861090865004
2023,3,0.02711895373432638
2023,4,0.023931014317929655
2023,5,0.003343510803454519
2023,6,0.009111420137327242
2023,7,0.004850466305827084
2023,8,0.007589093958566329
2023,9,-0.02004427982187873
2023,10,-0.023434882042644434
2023,11,0.051366692321575425
2023,12,0.0464557925931921
2024,1,0.01055281381837836
2024,2,0.019925957808729633
2024,3,0.053582751559140274
2024,4,-0.008689610862457009
2024,5,0.011437462685113697
2024,6,0.03622192344747899
2024,7,0.007689160451788135
2024,8,-0.009360257639523195
2024,9,0.00034248134081105164
2024,10,0.04215157405841219
2024,11,0.015196419848295672
2024,12,0.021723320299960047
2025,1,0.01919311569976445
2025,2,-0.0011845571638724461
2025,3,-0.01155344486396015
2025,4,-0.003373458956618336
2025,5,0.01172647783068026
2025,6,0.031611782769224384
2025,7,0.042127045933767926
2025,8,0.008866540170348713
2025,9,0.07208494445149705
2025,10,0.05042080088637424
2025,11,0.006763874842476314
2025,12,0.021393389945531416
2026,1,0.09155425757474833
2026,2,0.04292404612446177
2026,3,-0.07497920110905865
2026,4,0.09945999962714747
2026,5,0.09301837144331082
